path	start	end	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10
['A', 'B']	A	B	free	free	free	busy	free	free	free	free	busy	free
['A', 'C', 'D', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'D', 'E', 'F', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'D', 'F', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'E', 'D', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'E', 'D', 'F', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'E', 'F', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'E', 'F', 'D', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'D', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'D', 'C', 'E', 'F', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'D', 'E', 'F', 'B']	A	B	free	free	free	free	free	free	free	free	free	free
['A', 'D', 'F', 'B']	A	B	free	free	free	free	free	free	free	free	busy	free
['A', 'B', 'D', 'C']	A	C	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'D', 'E', 'C']	A	C	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'D', 'F', 'E', 'C']	A	C	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'D', 'C']	A	C	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'D', 'E', 'C']	A	C	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'E', 'C']	A	C	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'E', 'D', 'C']	A	C	free	free	free	free	free	free	free	free	free	free
['A', 'C']	A	C	busy	free	free	free	free	free	free	busy	free	free
['A', 'D', 'B', 'F', 'E', 'C']	A	C	free	free	free	free	free	free	free	free	free	free
['A', 'D', 'C']	A	C	free	free	busy	free	free	free	free	free	free	free
['A', 'D', 'E', 'C']	A	C	free	free	free	busy	free	free	free	free	free	free
['A', 'D', 'F', 'E', 'C']	A	C	free	free	free	free	free	free	free	free	free	busy
['A', 'B', 'D']	A	D	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'D']	A	D	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'E', 'C', 'D']	A	D	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'E', 'D']	A	D	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'D']	A	D	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'E', 'D']	A	D	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'E', 'F', 'B', 'D']	A	D	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'E', 'F', 'D']	A	D	free	free	free	free	free	free	free	free	free	free
['A', 'D']	A	D	free	free	free	free	free	free	busy	free	free	free
['A', 'B', 'D', 'C', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'D', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'D', 'F', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'D', 'C', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'D', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'B', 'F', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'D', 'B', 'F', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'D', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'D', 'F', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'C', 'E']	A	E	free	free	free	free	free	free	free	free	busy	free
['A', 'D', 'B', 'F', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'D', 'C', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'D', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
['A', 'D', 'F', 'E']	A	E	free	free	free	free	free	free	free	free	free	free
