path	start	end	total_latency	total_noise	SNR
['A', 'B']	A	B	0.0011785113019775792	3.535533905932738e-07	34.51544993495972
['A', 'C', 'D', 'B']	A	B	0.004157357797111406	1.2472073391334222e-06	29.040613422260705
['A', 'C', 'D', 'E', 'F', 'B']	A	B	0.007537838209911256	2.261351462973377e-06	26.456319336441766
['A', 'C', 'D', 'F', 'B']	A	B	0.005508698158776216	1.6526094476328655e-06	27.818297687990515
['A', 'C', 'E', 'D', 'B']	A	B	0.005403314191578307	1.6209942574734923e-06	27.902185236783154
['A', 'C', 'E', 'D', 'F', 'B']	A	B	0.006754654553243118	2.0263963659729355e-06	26.93275602056492
['A', 'C', 'E', 'F', 'B']	A	B	0.006245203569090188	1.8735610707270568e-06	27.273321460463006
['A', 'C', 'E', 'F', 'D', 'B']	A	B	0.007497279766060929	2.249183929818279e-06	26.47975028139772
['A', 'D', 'B']	A	B	0.002643664059516538	7.930992178549617e-07	31.006724784181998
['A', 'D', 'C', 'E', 'F', 'B']	A	B	0.007135210681804646	2.140563204541394e-06	26.694719442004708
['A', 'D', 'E', 'F', 'B']	A	B	0.006024144472316389	1.8072433416949169e-06	27.429833666199933
['A', 'D', 'F', 'B']	A	B	0.003995004421181348	1.198501326354405e-06	29.213614810061472
['A', 'B', 'D', 'C']	A	C	0.0037547302690047954	1.126419080701439e-06	29.483000015141428
['A', 'B', 'D', 'E', 'C']	A	C	0.005000686663471697	1.5002059990415092e-06	28.238491022080623
['A', 'B', 'D', 'F', 'E', 'C']	A	C	0.0070946522379543185	2.1283956713862956e-06	26.719476329905767
['A', 'B', 'F', 'D', 'C']	A	C	0.005106070630669607	1.5318211892008823e-06	28.147919273115363
['A', 'B', 'F', 'D', 'E', 'C']	A	C	0.006352027025136508	1.9056081075409524e-06	27.199664081215793
['A', 'B', 'F', 'E', 'C']	A	C	0.005842576040983577	1.7527728122950733e-06	27.562743718472824
['A', 'B', 'F', 'E', 'D', 'C']	A	C	0.007135210681804646	2.140563204541394e-06	26.694719442004708
['A', 'C']	A	C	0.0015811388300841897	4.74341649025257e-07	33.23908740944319
['A', 'D', 'B', 'F', 'E', 'C']	A	C	0.007307728798522537	2.1923186395567612e-06	26.590963236620496
['A', 'D', 'C']	A	C	0.0024711459427986474	7.413437828395945e-07	31.299803502301586
['A', 'D', 'E', 'C']	A	C	0.0037171023372655487	1.1151307011796648e-06	29.526742272575458
['A', 'D', 'F', 'E', 'C']	A	C	0.0058110679117481705	1.743320373524451e-06	27.586227943769032
['A', 'B', 'D']	A	D	0.0025528798438501327	7.6586395315504e-07	31.158483708916314
['A', 'B', 'F', 'D']	A	D	0.0039042202055149435	1.1712660616544832e-06	29.31344440552332
